site,completion_segment,mean_fraction,sd_fraction,mean_fields,runs
anvil,correct_abstention,0.2108843537414966,0.001626161373244075,31.0,36
anvil,error_or_unresolved,0.10506424792139077,0.051870327884850305,15.444444444444445,36
anvil,measured_correctly,0.3741496598639456,0.0,55.0,36
anvil,recovered_documentation,0.22448979591836732,0.04937750042790976,33.0,36
anvil,recovered_pilot,0.0854119425547997,0.005962591701894934,12.555555555555555,36
notre-dame-crc,correct_abstention,0.05800653594771242,0.003416333590378284,3.9444444444444446,36
notre-dame-crc,error_or_unresolved,0.21650326797385622,0.0368043670291462,14.722222222222221,36
notre-dame-crc,measured_correctly,0.38235294117647056,0.0,26.0,36
notre-dame-crc,recovered_documentation,0.2418300653594771,0.03694400721846427,16.444444444444443,36
notre-dame-crc,recovered_pilot,0.10130718954248366,0.0058589637712470255,6.888888888888889,36
stampede3,correct_abstention,0.18204053109713486,0.005409106835526565,28.944444444444443,36
stampede3,error_or_unresolved,0.09014675052410902,0.019888538743197355,14.333333333333334,36
stampede3,measured_correctly,0.29559748427672955,0.0,47.0,36
stampede3,recovered_documentation,0.3913347309573725,0.027024632555207134,62.22222222222222,36
stampede3,recovered_pilot,0.040880503144654086,0.02008643952537272,6.5,36
