Site,Precision,Recall,Abstention Accuracy,Field Accuracy,Citation Integrity
Anvil,0.9789075175770688,0.8743961352657005,0.96875,0.8949357520786092,1.0
Stampede3,0.956601607347876,0.9040798611111112,0.9336917562724014,0.909853249475891,1.0
Notre Dame CRC,0.9921787709497208,0.7708333333333334,0.9861111111111112,0.7834967320261438,1.0
