Retrieval,Field Accuracy,Precision,Recall,Tokens,Latency,Run-to-Run SD
BM25,0.8680908422069036,0.9756814297513975,0.8553857185990338,57590.194444444445,129.8800073436398,0.02135816531651788
LLM-expanded BM25,0.8590819451470315,0.9748263480845133,0.8465560839371981,57677.77777777778,143.22062486219107,0.028252346827590074
Full corpus,0.8611129462267088,0.9759074134377931,0.8473675271739131,125835.19444444444,315.8619061136669,0.017308136565318287
