mode,Retrieval,field_accuracy,precision,recall,abstention_accuracy,tokens,latency_sec,profile_latency_sec,run_to_run_sd,input_tokens,output_tokens,model_calls,rejected_count,unresolved_count,conflicts,runs
bm25,BM25,0.8680908422069036,0.9756814297513975,0.8553857185990338,0.9620575716845878,57590.194444444445,129.8800073436398,129.9867233970573,0.02135816531651788,40621.555555555555,16968.63888888889,4.666666666666667,8.944444444444445,41.138888888888886,4.277777777777778,36
expanded,LLM-expanded BM25,0.8590819451470315,0.9748263480845133,0.8465560839371981,0.9629256272401433,57677.77777777778,143.22062486219107,143.32781497924972,0.028252346827590074,39235.944444444445,18441.833333333332,5.888888888888889,13.777777777777779,42.05555555555556,4.694444444444445,36
full-corpus,Full corpus,0.8611129462267088,0.9759074134377931,0.8473675271739131,0.9635696684587813,125835.19444444444,315.8619061136669,316.05849445474917,0.017308136565318287,86198.02777777778,39637.166666666664,14.555555555555555,16.61111111111111,43.361111111111114,4.888888888888889,36
