Model,Field Accuracy,Precision,Recall,Tokens,Latency,Run-to-Run SD
GPT-5 mini,0.8410565484055259,0.9589485195321865,0.826086956521739,89512.85185185185,361.973142651588,0.03950888322099685
GPT-5.6 Terra,0.8659843392283538,0.9820719539819829,0.8514920491143316,58367.88888888889,51.87798688569644,0.012120571101663754
Gemini 3.6 Flash,0.875202072443233,0.9804650052702445,0.8642386272141707,87109.37037037036,150.16461843522254,0.013220534612052722
Gemini 3.1 Pro,0.8688046846970793,0.9804014429138576,0.8572614734299516,86480.77777777778,221.26763645349004,0.013757710267136335
