model,Model,field_accuracy,precision,recall,abstention_accuracy,tokens,latency_sec,profile_latency_sec,run_to_run_sd,input_tokens,output_tokens,model_calls,rejected_count,unresolved_count,conflicts,runs
gpt-5-mini,GPT-5 mini,0.8410565484055259,0.9589485195321865,0.826086956521739,0.9400014934289127,89512.85185185185,361.973142651588,362.11627197681514,0.03950888322099685,58672.74074074074,30840.11111111111,8.88888888888889,22.22222222222222,43.111111111111114,4.185185185185185,27
gpt-5.6-terra,GPT-5.6 Terra,0.8659843392283538,0.9820719539819829,0.8514920491143316,0.9752464157706094,58367.88888888889,51.87798688569644,52.008541824036335,0.012120571101663754,52531.48148148148,5836.407407407408,7.962962962962963,8.777777777777779,42.370370370370374,4.703703703703703,27
gemini-3.6-flash,Gemini 3.6 Flash,0.875202072443233,0.9804650052702445,0.8642386272141707,0.9680779569892474,87109.37037037036,150.16461843522254,150.3003484275563,0.013220534612052722,53069.444444444445,34039.92592592593,8.074074074074074,7.962962962962963,41.77777777777778,4.888888888888889,27
gemini-3.1-pro-preview,Gemini 3.1 Pro,0.8688046846970793,0.9804014429138576,0.8572614734299516,0.9680779569892474,86480.77777777778,221.26763645349004,221.40554821300046,0.013757710267136335,57133.7037037037,29347.074074074073,8.555555555555555,13.481481481481481,41.48148148148148,4.703703703703703,27
