site,correct_value,correct_absence,wrong_populated_value,missed_value,total
anvil,1206.6666666666665,372.0,26.0,159.33333333333331,1763.9999999999998
stampede3,1388.6666666666665,347.33333333333326,63.0,109.0,1907.9999999999998
notre-dame-crc,592.0,47.33333333333333,4.666666666666667,171.99999999999997,816.0
overall,3187.333333333333,766.6666666666666,93.66666666666667,440.33333333333326,4487.999999999999
