site,section,weighted_fields,correct_value,correct_abstention,incorrect_value,false_abstention,unsupported_value,field_accuracy,precision,recall,abstention_accuracy,false_abstention_rate,unsupported_fill_rate,predicted_abstention_rate,ground_truth_absent_fraction
anvil,scheduler,12.000000000000002,12.000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.0,0.0
anvil,slurm,1188.0,836.3333333333334,251.66666666666669,13.333333333333332,86.33333333333331,0.3333333333333333,0.9158249158249159,0.983921568627451,0.8935185185185186,0.9986772486772486,0.09223646723646721,0.0013227513227513225,0.2845117845117845,0.21212121212121215
anvil,htcondor,12.000000000000002,0.0,12.000000000000002,0.0,0.0,0.0,1.0,,,1.0,,0.0,1.0,1.0
anvil,storage,360.0,288.0,24.0,0.0,48.0,0.0,0.8666666666666667,1.0,0.8571428571428571,1.0,0.14285714285714285,0.0,0.2,0.06666666666666667
anvil,network,167.99999999999997,60.666666666666664,83.99999999999999,0.3333333333333333,22.999999999999993,0.0,0.861111111111111,0.994535519125683,0.7222222222222222,1.0,0.2738095238095237,0.0,0.6369047619047618,0.4999999999999999
anvil,accounting,24.000000000000004,9.66666666666667,0.3333333333333333,0.3333333333333333,1.9999999999999998,11.666666666666668,0.4166666666666667,0.4461538461538462,0.8055555555555556,0.027777777777777773,0.1666666666666666,0.9722222222222222,0.09722222222222218,0.49999999999999994
stampede3,scheduler,12.000000000000002,12.000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.0,0.0
stampede3,slurm,1332.0,1027.6666666666667,214.33333333333331,2.333333333333333,74.0,13.666666666666666,0.9324324324324325,0.984669434685404,0.9308574879227054,0.9400584795321638,0.06702898550724638,0.05994152046783626,0.21646646646646645,0.17117117117117114
stampede3,htcondor,12.000000000000002,0.0,12.000000000000002,0.0,0.0,0.0,1.0,,,1.0,,0.0,1.0,1.0
stampede3,storage,360.0,288.0,23.333333333333325,36.00000000000001,12.000000000000002,0.6666666666666666,0.8648148148148148,0.8870636550308008,0.8571428571428571,0.9722222222222222,0.03571428571428572,0.027777777777777783,0.09814814814814814,0.06666666666666665
stampede3,network,167.99999999999997,61.0,83.99999999999999,0.0,22.999999999999993,0.0,0.8630952380952381,1.0,0.7261904761904762,1.0,0.2738095238095237,0.0,0.6369047619047618,0.4999999999999999
stampede3,accounting,24.000000000000004,0.0,13.666666666666666,0.0,0.0,10.333333333333337,0.5694444444444443,0.0,,0.5694444444444443,,0.4305555555555557,0.5694444444444443,1.0
notre-dame-crc,scheduler,12.000000000000002,12.000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.0,0.0
notre-dame-crc,htcondor,480.0,424.0,0.0,4.0,52.0,0.0,0.8833333333333333,0.9906542056074766,0.8833333333333333,,0.10833333333333334,,0.10833333333333334,0.0
notre-dame-crc,storage,240.0,96.0,47.33333333333333,0.0,96.0,0.6666666666666666,0.5972222222222221,0.993103448275862,0.5,0.9861111111111112,0.5,0.01388888888888889,0.5972222222222221,0.19999999999999998
notre-dame-crc,network,84.0,60.0,0.0,0.0,24.0,0.0,0.7142857142857143,1.0,0.7142857142857143,,0.2857142857142857,,0.2857142857142857,0.0
