site,completion_segment,weighted_fields,weighted_total,ground_truth_fields,fraction,fields_per_profile
anvil,measured_correctly,660.0,1764.0,147,0.3741496598639456,55.00000000000001
anvil,recovered_documentation,396.0,1764.0,147,0.22448979591836735,33.0
anvil,recovered_pilot,150.66666666666666,1764.0,147,0.0854119425547997,12.555555555555555
anvil,correct_abstention,372.0,1764.0,147,0.2108843537414966,31.0
anvil,error_or_unresolved,185.33333333333331,1764.0,147,0.10506424792139077,15.444444444444443
notre-dame-crc,measured_correctly,312.0,816.0,68,0.38235294117647056,26.0
notre-dame-crc,recovered_documentation,197.33333333333331,816.0,68,0.2418300653594771,16.444444444444443
notre-dame-crc,recovered_pilot,82.66666666666666,816.0,68,0.10130718954248365,6.888888888888888
notre-dame-crc,correct_abstention,47.33333333333333,816.0,68,0.05800653594771241,3.944444444444444
notre-dame-crc,error_or_unresolved,176.66666666666666,816.0,68,0.2165032679738562,14.722222222222221
stampede3,measured_correctly,564.0,1908.0,159,0.29559748427672955,47.0
stampede3,recovered_documentation,746.6666666666666,1908.0,159,0.3913347309573724,62.222222222222214
stampede3,recovered_pilot,78.0,1908.0,159,0.040880503144654086,6.5
stampede3,correct_abstention,347.3333333333333,1908.0,159,0.18204053109713486,28.944444444444443
stampede3,error_or_unresolved,172.0,1908.0,159,0.09014675052410902,14.333333333333334
