matcher,site,weighted_fields,correct_value,correct_abstention,incorrect_value,false_abstention,unsupported_value,field_accuracy,precision,recall,abstention_accuracy,false_abstention_rate,unsupported_fill_rate,predicted_abstention_rate,ground_truth_absent_fraction
reviewed,anvil,1763.9999999999998,1206.6666666666665,372.0,14.0,159.33333333333331,12.000000000000002,0.8949357520786092,0.9789075175770687,0.8743961352657005,0.96875,0.11545893719806764,0.03125000000000001,0.30120937263794406,0.217687074829932
reviewed,stampede3,1907.9999999999998,1388.6666666666665,347.33333333333326,38.333333333333336,109.0,24.666666666666664,0.909853249475891,0.956601607347876,0.9040798611111112,0.9336917562724014,0.07096354166666667,0.06630824372759857,0.23916841369671557,0.19496855345911948
reviewed,notre-dame-crc,816.0,592.0,47.33333333333333,4.0,171.99999999999997,0.6666666666666666,0.7834967320261438,0.9921787709497207,0.7708333333333334,0.9861111111111112,0.2239583333333333,0.01388888888888889,0.2687908496732026,0.0588235294117647
reviewed,overall,4488.0,3187.3333333333335,766.6666666666666,56.333333333333336,440.33333333333337,37.33333333333333,0.8810160427807486,0.9714517931524941,0.8651827723488961,0.9535655058043118,0.11952587766920014,0.04643449419568822,0.2689393939393939,0.17914438502673796
strict_exact,anvil,1764.0,1181.3333333333333,372.0,39.33333333333334,159.33333333333331,12.000000000000002,0.8805744520030235,0.9583558680367766,0.8560386473429953,0.96875,0.11545893719806764,0.03125000000000001,0.30120937263794406,0.217687074829932
strict_exact,stampede3,1907.9999999999995,1379.333333333333,347.33333333333326,47.66666666666666,109.0,24.666666666666664,0.9049615653389237,0.9501722158438575,0.8980034722222222,0.9336917562724014,0.07096354166666667,0.06630824372759857,0.23916841369671557,0.19496855345911948
strict_exact,notre-dame-crc,816.0,546.0,47.33333333333333,49.99999999999999,171.99999999999997,0.6666666666666666,0.727124183006536,0.9150837988826817,0.7109375,0.9861111111111112,0.2239583333333333,0.01388888888888889,0.2687908496732026,0.0588235294117647
strict_exact,overall,4488.0,3106.666666666667,766.6666666666666,137.0,440.33333333333337,37.33333333333333,0.8630421865715984,0.9468657929493041,0.8432862830256966,0.9535655058043118,0.11952587766920014,0.04643449419568822,0.2689393939393939,0.17914438502673796
