site,correct_value,correct_abstention,incorrect_value,false_abstention,unsupported_value
anvil,1206.6666666666665,372.0,14.0,159.33333333333331,12.000000000000002
stampede3,1388.6666666666665,347.33333333333326,38.333333333333336,109.0,24.666666666666664
notre-dame-crc,592.0,47.33333333333333,4.0,171.99999999999997,0.6666666666666666
