run_id,site,model,mode,rep,analysis_weight,evaluated_fields,correct_value,correct_abstention,incorrect_value,false_abstention,unsupported_value,field_accuracy,precision,recall,abstention_accuracy,false_abstention_rate,unsupported_fill_rate,predicted_abstention_rate,ground_truth_absent_fraction
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,147,73,31,8,34,1,0.7074829931972789,0.8902439024390244,0.6347826086956522,0.96875,0.2956521739130435,0.03125,0.4421768707482993,0.21768707482993196
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,1.0,147,103,31,0,12,1,0.9115646258503401,0.9903846153846154,0.8956521739130435,0.96875,0.10434782608695652,0.03125,0.2925170068027211,0.21768707482993196
7461b506-1010-47bb-96e0-4f70ad467eb4,anvil,gemini-3.6-flash,bm25,1,1.0,147,106,31,0,9,1,0.9319727891156463,0.9906542056074766,0.9217391304347826,0.96875,0.0782608695652174,0.03125,0.272108843537415,0.21768707482993196
7b708f71-5d9c-421a-a4b2-00c7797764b7,anvil,gemini-3.1-pro-preview,bm25,1,1.0,147,103,31,0,12,1,0.9115646258503401,0.9903846153846154,0.8956521739130435,0.96875,0.10434782608695652,0.03125,0.2925170068027211,0.21768707482993196
b4d30e1f-f973-4b74-94b6-fbe6a9bd79b0,anvil,gpt-5.6-terra,expanded,1,0.3333333333333333,147,94,31,0,21,1,0.8503401360544217,0.9894736842105263,0.8173913043478261,0.96875,0.1826086956521739,0.03125,0.35374149659863946,0.21768707482993196
b39cb110-7fef-4955-bd45-eb553c73ebdd,anvil,gemini-3.6-flash,expanded,1,0.3333333333333333,147,105,31,1,9,1,0.9251700680272109,0.9813084112149533,0.9130434782608695,0.96875,0.0782608695652174,0.03125,0.272108843537415,0.21768707482993196
a559715c-2848-49c7-a22d-e7a97b6f2c27,anvil,gpt-5.6-terra,expanded,2,0.3333333333333333,147,100,31,2,13,1,0.891156462585034,0.970873786407767,0.8695652173913043,0.96875,0.11304347826086956,0.03125,0.29931972789115646,0.21768707482993196
49489bb3-b87d-4aa2-9644-dfd10861b10d,anvil,gemini-3.6-flash,expanded,2,0.3333333333333333,147,106,31,0,9,1,0.9319727891156463,0.9906542056074766,0.9217391304347826,0.96875,0.0782608695652174,0.03125,0.272108843537415,0.21768707482993196
36413199-e13b-4032-ae57-95eeaca7cd0c,anvil,gemini-3.1-pro-preview,expanded,2,0.3333333333333333,147,105,31,0,10,1,0.9251700680272109,0.9905660377358491,0.9130434782608695,0.96875,0.08695652173913043,0.03125,0.2789115646258503,0.21768707482993196
1588b38a-590e-493b-8bd3-be8445a0bfa5,anvil,gpt-5.6-terra,expanded,3,0.3333333333333333,147,102,31,1,12,1,0.9047619047619048,0.9807692307692307,0.8869565217391304,0.96875,0.10434782608695652,0.03125,0.2925170068027211,0.21768707482993196
