site,weighted_fields,correct_value,correct_abstention,incorrect_value,false_abstention,unsupported_value,field_accuracy,precision,recall,abstention_accuracy,false_abstention_rate,unsupported_fill_rate,predicted_abstention_rate,ground_truth_absent_fraction
anvil,1763.9999999999998,1206.6666666666665,372.0,14.0,159.33333333333331,12.000000000000002,0.8949357520786092,0.9789075175770687,0.8743961352657005,0.96875,0.11545893719806764,0.03125000000000001,0.30120937263794406,0.217687074829932
stampede3,1907.9999999999998,1388.6666666666665,347.33333333333326,38.333333333333336,109.0,24.666666666666664,0.909853249475891,0.956601607347876,0.9040798611111112,0.9336917562724014,0.07096354166666667,0.06630824372759857,0.23916841369671557,0.19496855345911948
notre-dame-crc,816.0,592.0,47.33333333333333,4.0,171.99999999999997,0.6666666666666666,0.7834967320261438,0.9921787709497207,0.7708333333333334,0.9861111111111112,0.2239583333333333,0.01388888888888889,0.2687908496732026,0.0588235294117647
