mode,field_accuracy,precision,recall,abstention_accuracy,extraction_tokens,latency_sec,model_calls,rejected_count,unresolved_count,balanced_configurations,raw_runs
bm25,0.8626485185269077,0.9724673955577341,0.8492980072463768,0.9499327956989246,56900.0,122.11683333333336,4.666666666666667,5.0,42.083333333333336,12.0,12.0
expanded,0.8590819451470314,0.9748263480845131,0.8465560839371977,0.9629256272401433,57677.77777777776,143.3278333333333,5.8888888888888875,13.777777777777771,42.05555555555555,12.000000000000002,36.0
full-corpus,0.8560383272805979,0.9757386024553192,0.8420855978260869,0.9627016129032259,115864.5,251.37075000000002,13.833333333333334,16.333333333333332,43.666666666666664,12.0,12.0
