model,field_accuracy,precision,recall,abstention_accuracy,extraction_tokens,latency_sec,model_calls,rejected_count,unresolved_count,balanced_configurations,raw_runs
gpt-5-mini,0.8263677238889967,0.9526342450850093,0.8103864734299518,0.9226777180406213,83950.96296296298,298.105925925926,8.62962962962963,19.370370370370374,44.259259259259274,8.999999999999998,15.0
gpt-5.6-terra,0.8657323865954488,0.982068562311925,0.8511699879227055,0.9752464157706093,56793.00000000001,48.2412962962963,7.7777777777777795,8.222222222222223,42.8888888888889,8.999999999999998,15.0
gemini-3.6-flash,0.8760394444290646,0.9818854867041574,0.865073973429952,0.9680779569892474,82453.66666666667,141.83540740740742,7.666666666666668,6.185185185185186,41.592592592592595,8.999999999999998,15.0
gemini-3.1-pro-preview,0.8688854996925397,0.9807881673623309,0.8572891505636072,0.9680779569892474,84058.74074074074,200.90459259259262,8.444444444444446,13.03703703703704,41.66666666666667,8.999999999999998,15.0
