site,model,accuracy_mean,accuracy_sd,tokens_mean,tokens_sd,latency_mean,latency_sd
anvil,gemini-3.1-pro-preview,0.9251700680272107,0.0,53172.333333333336,7228.641250839146,141.51133333333334,20.710898250277165
anvil,gemini-3.6-flash,0.9229024943310659,0.010391328106475936,42794.666666666664,9191.143363767826,83.95966666666666,16.934352137986657
anvil,gpt-5-mini,0.9002267573696145,0.007855105703260215,64959.333333333336,2560.462718598599,316.4116666666667,30.938577768432264
anvil,gpt-5.6-terra,0.8820861678004536,0.028321986387294367,32433.666666666668,2711.754843884921,40.339666666666666,5.306580945706317
notre-dame-crc,gemini-3.1-pro-preview,0.7549019607843137,0.03396178054056618,48281.333333333336,2586.018625867441,162.3456666666667,18.17488999508207
notre-dame-crc,gemini-3.6-flash,0.7843137254901961,0.030612735286266655,54233.666666666664,2575.0056957865804,108.18400000000001,9.043644232277163
notre-dame-crc,gpt-5-mini,0.7156862745098039,0.0754647270506895,49662.333333333336,13063.501993467651,252.203,92.70063020821381
notre-dame-crc,gpt-5.6-terra,0.7696078431372548,0.022463606347822743,32440.666666666668,189.11460370191784,39.832,0.9781446723261352
stampede3,gemini-3.1-pro-preview,0.9119496855345912,0.0062893081761006275,88998.0,1093.2973063169964,148.73233333333334,7.783347758730379
stampede3,gemini-3.6-flash,0.9119496855345912,0.01089340130546457,81346.66666666667,15396.526956860544,108.13199999999999,28.230364733740156
stampede3,gpt-5-mini,0.9119496855345912,0.012578616352201172,88604.0,11770.4112502495,279.8196666666667,107.32482718054258
stampede3,gpt-5.6-terra,0.9182389937106917,0.0,55206.666666666664,8387.909532972644,38.463,3.2342770444103874
